companyNumber,companyName,sicCodes,companyType,cashInBank,financialYearEnd,dateOfIncorporation,ageOfCompany,location,country,postcode,streetAddress
12699463,OCEAN BLUE BEAUTY LTD,['47990'],ltd,0,'2022-06-30',2020-06-26,3,Southport,England,PR8 3ED,109 Central Avenue
12699463,OCEAN BLUE BEAUTY LTD,['47990'],ltd, 2096, '2021-06-30',2020-06-26,3,Southport,England,PR8 3ED,109 Central Avenue
14299554,SOUTHPORT FRESH FOOD STORE LIMITED,['47190'],ltd,None,'None',2022-08-16,1,Southport,England,PR9 0TE,7a Hoghton Street
14299554,SOUTHPORT FRESH FOOD STORE LIMITED,['47190'],ltd, None, 'None',2022-08-16,1,Southport,England,PR9 0TE,7a Hoghton Street
12974237,D BALMER DEVELOPMENTS LTD,['68209'],ltd,None,'2022-10-31',2020-10-26,3,Southport,England,PR8 1DQ,Pelican House  119c Eastbank Street
12974237,D BALMER DEVELOPMENTS LTD,['68209'],ltd, None, '2021-10-31',2020-10-26,3,Southport,England,PR8 1DQ,Pelican House  119c Eastbank Street
03818984,ARGYLE BUILDING CO. LIMITED,['41202'],ltd,168351,'2022-03-31',1999-08-03,24,Southport,England,PR9 0HA,8 Leicester Street
03818984,ARGYLE BUILDING CO. LIMITED,['41202'],ltd, 9846, '2021-03-31',1999-08-03,24,Southport,England,PR9 0HA,8 Leicester Street
14299904,CATON ACCOUNTANCY LIMITED,['69201'],ltd,None,'None',2022-08-16,1,Southport,England,PR8 4RE,37 Blundell Drive
14299904,CATON ACCOUNTANCY LIMITED,['69201'],ltd, None, 'None',2022-08-16,1,Southport,England,PR8 4RE,37 Blundell Drive
11505496,SCARLETT RED LTD,['77110'],ltd,None,'2022-08-31',2018-08-08,5,Southport,England,PR8 3JP,8 Chesterfield Road
11505496,SCARLETT RED LTD,['77110'],ltd, None, '2021-08-31',2018-08-08,5,Southport,England,PR8 3JP,8 Chesterfield Road
14281882,CLEAN SWIPE LTD,['20412'],ltd,None,'None',2022-08-08,1,Southport,England,PR9 9HA,Flat 8
14281882,CLEAN SWIPE LTD,['20412'],ltd, None, 'None',2022-08-08,1,Southport,England,PR9 9HA,Flat 8
10864670,IMAGE BEAST LTD,['18129'],ltd,100,'2022-07-31',2017-07-13,6,Southport,England,PR8 1DQ,Williams & Co Accountants
10864670,IMAGE BEAST LTD,['18129'],ltd, 100, '2021-07-31',2017-07-13,6,Southport,England,PR8 1DQ,Williams & Co Accountants
12631712,MATCHDREAM LIMITED,"['43390', '77390']",ltd,27149,'2022-05-31',2020-05-29,3,Southport,England,PR8 5DL,162 Hampton Road
12631712,MATCHDREAM LIMITED,"['43390', '77390']",ltd, 0, '2021-05-31',2020-05-29,3,Southport,England,PR8 5DL,162 Hampton Road
12413672,TDBGROUP LTD,['47910'],ltd,None,'None',2020-01-20,3,Southport,England,PR9 8JD,241 Rufford Road
12413672,TDBGROUP LTD,['47910'],ltd, None, 'None',2020-01-20,3,Southport,England,PR9 8JD,241 Rufford Road
14285484,CEEJY SERVICES LTD,['69201'],ltd,2,'2023-08-31',2022-08-09,1,Southport,England,PR9 0RZ,98 Kensington Road
14285484,CEEJY SERVICES LTD,['69201'],ltd, None, 'None',2022-08-09,1,Southport,England,PR9 0RZ,98 Kensington Road
13545026,ALL AGLOW LTD,"['56102', '93290']",ltd,None,'2022-07-31',2021-08-03,2,Southport,England,PR8 3AD,4 Ryder Crescent
13545026,ALL AGLOW LTD,"['56102', '93290']",ltd, None, '2022-07-31',2021-08-03,2,Southport,England,PR8 3AD,4 Ryder Crescent
02940308,38 WESTBOURNE ROAD (MANAGEMENT) COMPANY LIMITED,['98000'],ltd,None,'2022-12-31',1994-06-17,29,Southport,England,PR9 0NS,19 Hoghton Street
02940308,38 WESTBOURNE ROAD (MANAGEMENT) COMPANY LIMITED,['98000'],ltd, 10363, '2021-12-31',1994-06-17,29,Southport,England,PR9 0NS,19 Hoghton Street
13529010,WPW ESTATES LTD,['68209'],ltd,None,'2022-07-31',2021-07-24,2,Southport,England,PR9 7JD,47 Carisbrooke Drive
13529010,WPW ESTATES LTD,['68209'],ltd, None, 'None',2021-07-24,2,Southport,England,PR9 7JD,47 Carisbrooke Drive
12145782,FLINT ROOFING SOUTHPORT LIMITED,['43390'],ltd,None,'2022-12-31',2019-08-08,4,Southport,England,PR8 5EF,102 Cemetery Road
12145782,FLINT ROOFING SOUTHPORT LIMITED,['43390'],ltd, 51630, '2021-12-31',2019-08-08,4,Southport,England,PR8 5EF,102 Cemetery Road
13506496,THE MYTHICAL GROUP LIMITED,['64209'],ltd,None,'None',2021-07-12,2,Southport,England,PR8 4JF,146 Kew Road
13506496,THE MYTHICAL GROUP LIMITED,['64209'],ltd, None, 'None',2021-07-12,2,Southport,England,PR8 4JF,146 Kew Road
09722390,GAS TURBINE PACKAGE SERVICES LTD,['33120'],ltd,48929,'2022-08-31',2015-08-08,8,Southport,England,PR8 1DQ,Williams & Co Accountants Pelican House  119c Eastbank Street
09722390,GAS TURBINE PACKAGE SERVICES LTD,['33120'],ltd, 38977, '2021-08-31',2015-08-08,8,Southport,England,PR8 1DQ,Williams & Co Accountants Pelican House  119c Eastbank Street
10568119,G9 LTD,['68209'],ltd,None,'2022-03-31',2017-01-17,6,Southport,England,PR9 0QE,28 Union Street
10568119,G9 LTD,['68209'],ltd, None, '2021-03-31',2017-01-17,6,Southport,England,PR9 0QE,28 Union Street
11087196,C.A.M. PROPERTY DEVELOPERS LTD,"['41100', '98000']",ltd,None,'2022-11-30',2017-11-29,6,Southport,England,PR9 0NZ,Adelphi Chambers  30 Hoghton Street
11087196,C.A.M. PROPERTY DEVELOPERS LTD,"['41100', '98000']",ltd, 5837, '2021-11-30',2017-11-29,6,Southport,England,PR9 0NZ,Adelphi Chambers  30 Hoghton Street
13048855,OPULENTA PROCUREMENT LIMITED,['96090'],ltd,None,'2022-11-30',2020-11-27,3,Southport,England,PR9 8EZ,75 New Lane Pace
13048855,OPULENTA PROCUREMENT LIMITED,['96090'],ltd, 1, '2021-11-30',2020-11-27,3,Southport,England,PR9 8EZ,75 New Lane Pace
12808451,SST (NW) LTD,['43290'],ltd,4165,'2022-08-31',2020-08-12,3,Southport,England,PR8 6NA,20 Everard Road
