companyNumber,companyName,sicCodes,companyType,cashInBank,financialYearEnd,dateOfIncorporation,ageOfCompany,location,country,postcode,streetAddress
07908184,AFA ARCHITECTS AND PLANNERS LTD,['71111'],ltd,"[9385, 15271]","['2021-04-30', '2020-04-30']",2012-01-12,10,Newport,Wales,NP20 5NT,Summit House 10 Waterside Court
07913134,GRAYPEN CYMRU LIMITED,['70100'],ltd,"[-1010101, -1010101]","['2021-10-31', '2020-10-31']",2012-01-17,10,Newport,Wales,NP20 2NP,The Old Customs House
05803125,M BRADLY INVESTMENTS LIMITED,['68201'],ltd,"[3015, 18793]","['2021-05-31', '2020-05-31']",2006-05-03,16,Newport,Wales,NP18 1NT,7 East Lynne Gardens
05806455,ARCHITEXTURE LIMITED,['71111'],ltd,"[-1010101, -1010101]","['2021-04-30', '2020-04-30']",2006-05-05,16,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
05811344,HIGH TREES GREEN MANAGEMENT LIMITED,['98000'],private-limited-guarant-nsc,"[-1010101, -1010101]","['2021-05-31', '2020-05-31']",2006-05-09,16,Newport,Wales,NP11 6HH,13 High Trees
05865916,MORGAS LIMITED,['43220'],ltd,"[35957, 59628]","['2021-04-30', '2020-04-30']",2006-07-04,16,Newport,Wales,NP20 6QB,Sneyd Lodge
05973081,GAER COMMUNITY NETWORK,['88990'],private-limited-guarant-nsc-limited-exemption,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2006-10-20,16,Newport,Wales,NP20 3GY,Gaer Community Centre
06020436,QUANTUM ADVISORY LIMITED,['65300'],ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2006-12-06,16,Newport,Wales,NP18 2HJ,Merlin House  No 1 Langstone Business Park Priory Drive
07923047,Y I CONSULTING LTD,['66190'],ltd,"[106, 2716]","['2021-03-31', '2020-03-31']",2012-01-25,10,Newport,Wales,NP10 8HJ,24 Viscount Evan Drive
07930612,GUPTA & GUPTA LIMITED,['86230'],ltd,"[150793, 44927]","['2021-03-31', '2020-03-31']",2012-01-31,10,Newport,Wales,NP20 1JZ,5 North Street
07951799,INTERFACE FACADE ENGINEERING LTD,"['71111', '71122', '71129']",ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2012-02-16,10,Newport,Wales,NP10 8FY,Cedar House
07991606,SAITH CANTREF CYF,"['82110', '82990']",ltd,"[58348, 60268]","['2021-03-31', '2020-03-31']",2012-03-15,10,Newport,Wales,SA42 0SG,Penfeidr Ie-Yr-Esgyrn
08007598,DAISYMOON DESIGNS LIMITED,['47910'],ltd,"[37716, 31071]","['2021-04-30', '2020-04-30']",2012-03-27,10,Newport,Wales,NP11 5AR,11b Darren Drive Prince Of Wales Industrial Estate
08415472,GU249BJ LTD,['68209'],ltd,"[308, 307800]","['2021-07-31', '2020-07-31']",2013-02-22,9,Newport,Wales,NP19 4PW,Bisley Factory Caswell Way
08420780,AT INSTALLATIONS LIMITED,['43342'],ltd,"[1065, -1010101]","['2021-02-28', '2021-02-26']",2013-02-26,9,Newport,Wales,NP11 4HF,10 King Charles Road
08429265,WILLIAMS & SONS PROPERTIES LIMITED,['68310'],ltd,"[52776, 25807]","['2021-03-31', '2020-03-31']",2013-03-04,9,Newport,Wales,NP11 4SQ,28 Woodland Terrace
08451705,GRAHAM METAL SOLUTIONS LTD,['46770'],ltd,"[-1010101, 398481]","['2020-08-31', '2021-08-31']",2013-03-19,9,Newport,Wales,NP20 4PG,21 Gold Tops
08457548,CRYSTAL CLEAR FINANCIAL SOLUTIONS LTD,['66220'],ltd,"[-1010101, -1010101]","['2021-07-31', '2020-07-31']",2013-03-22,9,Newport,Wales,NP10 8LF,44 Caerphilly Road
08464818,SCOTTY WILLIAMS PROMOTIONS LIMITED,['93199'],ltd,"[349, 898]","['2021-03-31', '2020-03-31']",2013-03-27,9,Newport,Wales,NP20 2DW,Lanyon House
08044511,WATCHHOUSE LIMITED,['41100'],ltd,"[99, 99]","['2021-04-30', '2020-04-30']",2012-04-25,10,Newport,Wales,NP18 1JR,Woodwards Farm Coed Y Caerau Lane
08048833,ACE DYNASTY LIMITED,['70229'],ltd,"[6268, 6810]","['2021-05-31', '2020-05-31']",2012-04-27,10,Newport,Wales,NP10 8ET,8 Brigantine Grove
08057625,CARDIFF HOMECARE LTD,['86900'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2012-05-04,10,Newport,Wales,NP10 8FY,Severn House
